station,station_slug,latitude,longitude,london_terminal,terminal_code,fastest_minutes,fastest_direct_minutes,change_at,typical_peak_minutes,peak_trains_per_hour,direct,operators
Harrow & Wealdstone,harrow-and-wealdstone,51.592178,-0.334571,Euston,EUS,13,13,,34,7.5,yes,"Avanti West Coast, London Northwestern"
Watford Junction,watford,51.663529,-0.396517,Euston,EUS,15,15,,23,10.7,yes,"Avanti West Coast, London Northwestern"
Bushey,bushey,51.645582,-0.384749,Euston,EUS,16,16,,21,7.9,yes,"Avanti West Coast, London Northwestern"
Kings Langley,kings-langley,51.706356,-0.438422,Euston,EUS,25,25,,27,3.2,yes,"Avanti West Coast, London Northwestern"
Hemel Hempstead,hemel-hempstead,51.742333,-0.490774,Euston,EUS,27,27,,32,5.2,yes,"Avanti West Coast, London Northwestern"
Apsley,apsley,51.732522,-0.462935,Euston,EUS,28,28,,29,3.6,yes,"Avanti West Coast, London Northwestern"
Tring,tring,51.800741,-0.622439,Euston,EUS,28,28,,42,5.2,yes,"Avanti West Coast, London Northwestern"
Leighton Buzzard,leighton-buzzard,51.916306,-0.677007,Euston,EUS,30,30,,44,4.8,yes,"Avanti West Coast, London Northwestern"
Berkhamsted,berkhamsted,51.763134,-0.562013,Euston,EUS,31,31,,37,5.2,yes,"Avanti West Coast, London Northwestern"
Milton Keynes Central,milton-keynes,52.034288,-0.774146,Euston,EUS,32,32,,36,8.9,yes,"Avanti West Coast, London Northwestern"
Bletchley,bletchley,51.995334,-0.73632,Euston,EUS,37,37,,61,4.4,yes,"Avanti West Coast, London Northwestern"
Cheddington,cheddington,51.857918,-0.662152,Euston,EUS,44,49,Tring,50,2.4,no,"Avanti West Coast, London Northwestern"
Rugby,rugby,52.379094,-1.250484,Euston,EUS,49,49,,58,6.0,yes,"Avanti West Coast, London Northwestern"
Northampton,northampton,52.2375,-0.906653,Euston,EUS,50,50,,59,3.6,yes,"Avanti West Coast, London Northwestern"
Clapham Junction,clapham-junction,51.464188,-0.170293,Euston,EUS,56,,Harrow & Wealdstone,,,no,"Avanti West Coast, London Northwestern"
Coventry,coventry,52.400814,-1.51346,Euston,EUS,56,56,,67,4.9,yes,"Avanti West Coast, London Northwestern"
Balham,balham,51.443225,-0.152424,Euston,EUS,64,,Harrow & Wealdstone,,,no,"Avanti West Coast, London Northwestern"
Birmingham International,birmingham-international,52.450807,-1.725857,Euston,EUS,68,68,,79,4.9,yes,"Avanti West Coast, London Northwestern"
Long Buckby,long-buckby,52.294716,-1.086467,Euston,EUS,68,68,,74,2.4,yes,"Avanti West Coast, London Northwestern"
Birmingham New Street,birmingham-new-street,52.477818,-1.900205,Euston,EUS,79,79,,91,4.5,yes,"Avanti West Coast, London Northwestern"
Leamington Spa,leamington-spa,52.28449,-1.53621,Euston,EUS,81,,Coventry,,,no,"Avanti West Coast, London Northwestern"
East Croydon,east-croydon,51.375454,-0.09278,Euston,EUS,83,,Harrow & Wealdstone,,,no,"Avanti West Coast, London Northwestern"
Bedford,bedford,52.136187,-0.479442,Euston,EUS,88,,Bletchley,,,no,"Avanti West Coast, London Northwestern"
Limehouse,limehouse,51.512537,-0.039803,Fenchurch Street,FST,4,4,,5,15.2,yes,c2c
West Ham,west-ham,51.528489,0.005431,Fenchurch Street,FST,9,9,,10,15.6,yes,c2c
Barking,barking,51.539495,0.080903,Fenchurch Street,FST,14,14,,16,11.6,yes,c2c
Dagenham Dock,dagenham-dock,51.52609,0.146103,Fenchurch Street,FST,20,20,,22,3.2,yes,c2c
Upminster,upminster,51.559018,0.25088,Fenchurch Street,FST,21,21,,24,8.8,yes,c2c
Rainham (Essex),rainham-essex,51.516723,0.190634,Fenchurch Street,FST,24,24,,26,3.2,yes,c2c
West Horndon,west-horndon,51.567945,0.340644,Fenchurch Street,FST,27,27,,30,3.6,yes,c2c
Ockendon,ockendon,51.521992,0.290469,Fenchurch Street,FST,28,28,,31,3.6,yes,c2c
Laindon,laindon,51.567524,0.424289,Fenchurch Street,FST,29,29,,34,6.4,yes,c2c
Purfleet,purfleet,51.481013,0.236767,Fenchurch Street,FST,29,29,,32,3.2,yes,c2c
Basildon,basildon,51.568106,0.456789,Fenchurch Street,FST,32,32,,36,6.8,yes,c2c
Chafford Hundred,chafford-hundred,51.485557,0.287447,Fenchurch Street,FST,33,33,,36,3.6,yes,c2c
Grays,grays,51.476248,0.321832,Fenchurch Street,FST,35,35,,39,6.8,yes,c2c
Benfleet,benfleet,51.543945,0.561713,Fenchurch Street,FST,37,37,,44,8.0,yes,c2c
Pitsea,pitsea,51.560359,0.506293,Fenchurch Street,FST,37,37,,44,8.0,yes,c2c
Tilbury Town,tilbury-town,51.462359,0.354039,Fenchurch Street,FST,38,38,,42,3.2,yes,c2c
Leigh-on-Sea,leigh-on-sea,51.541273,0.640411,Fenchurch Street,FST,41,41,,48,8.0,yes,c2c
Chalkwell,chalkwell,51.538719,0.670593,Fenchurch Street,FST,42,42,,52,6.8,yes,c2c
East Tilbury,east-tilbury,51.484831,0.412928,Fenchurch Street,FST,44,44,,48,3.2,yes,c2c
Westcliff,westcliff,51.537334,0.691466,Fenchurch Street,FST,45,45,,55,6.8,yes,c2c
Southend Central,southend-central,51.537065,0.711727,Fenchurch Street,FST,47,47,,57,6.8,yes,c2c
Stanford-le-Hope,stanford-le-hope,51.514364,0.423036,Fenchurch Street,FST,48,48,,52,3.2,yes,c2c
Finsbury Park,finsbury-park,51.564302,-0.106285,Kings Cross,KGX,6,6,,7,2.0,yes,"Great Northern, LNER, Hull Trains, Lumo"
Alexandra Palace,alexandra-palace,51.597924,-0.120235,Kings Cross,KGX,11,11,,12,2.0,yes,"Great Northern, LNER, Hull Trains, Lumo"
Hornsey,hornsey,51.586461,-0.111975,Kings Cross,KGX,12,12,,,,yes,"Great Northern, LNER, Hull Trains, Lumo"
New Barnet,new-barnet,51.648575,-0.172997,Kings Cross,KGX,18,18,,18,2.0,yes,"Great Northern, LNER, Hull Trains, Lumo"
Welwyn North,welwyn-north,51.823497,-0.192091,Kings Cross,KGX,19,19,,28,4.0,yes,"Great Northern, LNER, Hull Trains, Lumo"
Potters Bar,potters-bar,51.697067,-0.192605,Kings Cross,KGX,20,20,,23,2.0,yes,"Great Northern, LNER, Hull Trains, Lumo"
Stevenage,stevenage,51.901688,-0.207109,Kings Cross,KGX,20,20,,26,5.1,yes,"Great Northern, LNER, Hull Trains, Lumo"
Oakleigh Park,oakleigh-park,51.637678,-0.166209,Kings Cross,KGX,22,22,,,,yes,"Great Northern, LNER, Hull Trains, Lumo"
Enfield Chase,enfield-chase,51.653254,-0.090696,Kings Cross,KGX,24,24,,,,yes,"Great Northern, LNER, Hull Trains, Lumo"
Gordon Hill,gordon-hill,51.663335,-0.09461,Kings Cross,KGX,26,26,,,,yes,"Great Northern, LNER, Hull Trains, Lumo"
Hatfield,hatfield,51.763879,-0.215589,Kings Cross,KGX,26,26,,29,2.0,yes,"Great Northern, LNER, Hull Trains, Lumo"
Hadley Wood,hadley-wood,51.668497,-0.176172,Kings Cross,KGX,27,27,,,,yes,"Great Northern, LNER, Hull Trains, Lumo"
Hitchin,hitchin,51.953283,-0.263481,Kings Cross,KGX,28,28,,40,4.0,yes,"Great Northern, LNER, Hull Trains, Lumo"
Letchworth Garden City,letchworth-garden-city,51.979964,-0.229264,Kings Cross,KGX,29,29,,33,5.9,yes,"Great Northern, LNER, Hull Trains, Lumo"
Welwyn Garden City,welwyn-garden-city,51.801048,-0.20407,Kings Cross,KGX,29,29,,32,2.0,yes,"Great Northern, LNER, Hull Trains, Lumo"
Biggleswade,biggleswade,52.08468,-0.261187,Kings Cross,KGX,30,30,,35,1.5,yes,"Great Northern, LNER, Hull Trains, Lumo"
Cuffley,cuffley,51.708722,-0.109783,Kings Cross,KGX,31,31,,,,yes,"Great Northern, LNER, Hull Trains, Lumo"
Brookmans Park,brookmans-park,51.721062,-0.204549,Kings Cross,KGX,33,36,Potters Bar,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Knebworth,knebworth,51.866855,-0.187289,Kings Cross,KGX,33,38,Finsbury Park,41,2.0,no,"Great Northern, LNER, Hull Trains, Lumo"
Welham Green,welham-green,51.736352,-0.210692,Kings Cross,KGX,35,38,Potters Bar,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Baldock,baldock,51.992871,-0.187564,Kings Cross,KGX,36,36,,36,2.4,yes,"Great Northern, LNER, Hull Trains, Lumo"
Royston,royston,52.05308,-0.026921,Kings Cross,KGX,37,37,,46,4.3,yes,"Great Northern, LNER, Hull Trains, Lumo"
Arlesey,arlesey,52.026031,-0.26632,Kings Cross,KGX,38,38,,,,yes,"Great Northern, LNER, Hull Trains, Lumo"
Hertford North,hertford-north,51.798857,-0.091788,Kings Cross,KGX,38,38,,,,yes,"Great Northern, LNER, Hull Trains, Lumo"
St Neots,st-neots,52.231568,-0.247414,Kings Cross,KGX,39,39,,45,1.5,yes,"Great Northern, LNER, Hull Trains, Lumo"
Crews Hill,crews-hill,51.684486,-0.106887,Kings Cross,KGX,40,,Alexandra Palace,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Ashwell & Morden,ashwell-and-morden,52.030772,-0.109789,Kings Cross,KGX,42,42,,42,2.0,yes,"Great Northern, LNER, Hull Trains, Lumo"
Bayford,bayford,51.757716,-0.09561,Kings Cross,KGX,46,,Stevenage,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Huntingdon,huntingdon,52.328649,-0.192068,Kings Cross,KGX,47,47,,53,1.5,yes,"Great Northern, LNER, Hull Trains, Lumo"
Peterborough,peterborough,52.574975,-0.249837,Kings Cross,KGX,47,47,,56,5.1,yes,"Great Northern, LNER, Hull Trains, Lumo"
Sandy,sandy,52.124734,-0.28119,Kings Cross,KGX,48,48,,,,yes,"Great Northern, LNER, Hull Trains, Lumo"
Cambridge,cambridge,52.194067,0.137457,Kings Cross,KGX,50,50,,68,3.9,yes,"Great Northern, LNER, Hull Trains, Lumo"
East Croydon,east-croydon,51.375454,-0.09278,Kings Cross,KGX,51,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Meldreth,meldreth,52.090717,0.008941,Kings Cross,KGX,51,51,,51,2.0,yes,"Great Northern, LNER, Hull Trains, Lumo"
Denmark Hill,denmark-hill,51.468203,-0.089361,Kings Cross,KGX,53,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Shepreth,shepreth,52.114162,0.031319,Kings Cross,KGX,55,55,,55,2.0,yes,"Great Northern, LNER, Hull Trains, Lumo"
Peckham Rye,peckham-rye,51.470034,-0.069414,Kings Cross,KGX,56,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Foxton,foxton,52.119214,0.056308,Kings Cross,KGX,57,57,,57,2.0,yes,"Great Northern, LNER, Hull Trains, Lumo"
Coulsdon South,coulsdon-south,51.315838,-0.137887,Kings Cross,KGX,61,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Catford,catford,51.444407,-0.026317,Kings Cross,KGX,65,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Grantham,grantham,52.906472,-0.64245,Kings Cross,KGX,65,65,,72,3.2,yes,"Great Northern, LNER, Hull Trains, Lumo"
Gatwick Airport,gatwick-airport,51.156491,-0.161041,Kings Cross,KGX,66,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Merstham,merstham,51.264154,-0.150226,Kings Cross,KGX,67,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Whittlesford Parkway,whittlesford-parkway,52.103588,0.165617,Kings Cross,KGX,67,,Cambridge South,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Bellingham,bellingham,51.432913,-0.019331,Kings Cross,KGX,68,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Redhill,redhill,51.240201,-0.1659,Kings Cross,KGX,69,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Beckenham Hill,beckenham-hill,51.424583,-0.015951,Kings Cross,KGX,70,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Three Bridges,three-bridges,51.116924,-0.161184,Kings Cross,KGX,71,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Audley End,audley-end,52.00444,0.207306,Kings Cross,KGX,74,,Cambridge South,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Earlswood,earlswood,51.227328,-0.170823,Kings Cross,KGX,74,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Newark Northgate,newark-northgate,53.081758,-0.799855,Kings Cross,KGX,75,75,,84,2.8,yes,"Great Northern, LNER, Hull Trains, Lumo"
Balcombe,balcombe,51.055522,-0.136934,Kings Cross,KGX,77,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Bromley South,bromley-south,51.399976,0.017344,Kings Cross,KGX,77,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Salfords,salfords,51.201748,-0.162489,Kings Cross,KGX,78,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Horley,horley,51.168775,-0.161054,Kings Cross,KGX,79,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Bickley,bickley,51.400104,0.045241,Kings Cross,KGX,80,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Haywards Heath,haywards-heath,51.005682,-0.105078,Kings Cross,KGX,81,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Bishops Stortford,bishops-stortford,51.866691,0.164894,Kings Cross,KGX,86,,Cambridge South,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Burgess Hill,burgess-hill,50.953656,-0.127413,Kings Cross,KGX,87,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Wivelsfield,wivelsfield,50.964297,-0.12079,Kings Cross,KGX,88,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
Swanley,swanley,51.393387,0.169225,Kings Cross,KGX,89,,Finsbury Park,,,no,"Great Northern, LNER, Hull Trains, Lumo"
